display_id,ad_id_x,clicked,platform,Country,ad_id_y,campaign_id,advertiser_id,confidence_level_x,confidence_level_y,confidence_level
2,125211,0,1,31,350091.0,108.0,176.0,0.19,8,448.000
2,125211,0,1,31,350119.0,841.0,176.0,0.19,8,448.000
2,156535,0,1,31,350091.0,108.0,176.0,0.19,8,448.000
2,156535,0,1,31,350119.0,841.0,176.0,0.19,8,448.000
2,169564,0,1,31,350091.0,108.0,176.0,0.19,8,448.000
2,169564,0,1,31,350119.0,841.0,176.0,0.19,8,448.000
2,308455,1,1,31,350091.0,108.0,176.0,0.19,8,448.000
2,308455,1,1,31,350119.0,841.0,176.0,0.19,8,448.000
30,139944,1,1,31,332501.0,841.0,176.0,0.37,22,368.000
30,139944,1,1,31,332616.0,108.0,176.0,0.37,22,368.000
30,166549,0,1,31,332501.0,841.0,176.0,0.37,22,368.000
30,166549,0,1,31,332616.0,108.0,176.0,0.37,22,368.000
30,181548,0,1,31,332501.0,841.0,176.0,0.37,22,368.000
30,181548,0,1,31,332616.0,108.0,176.0,0.37,22,368.000
30,250079,0,1,31,332501.0,841.0,176.0,0.37,22,368.000
30,250079,0,1,31,332616.0,108.0,176.0,0.37,22,368.000
30,269017,0,1,31,332501.0,841.0,176.0,0.37,22,368.000
30,269017,0,1,31,332616.0,108.0,176.0,0.37,22,368.000
35,45024,0,2,31,128852.0,16525.0,2352.0,0.495,132,82.000
35,45024,0,2,31,128853.0,16525.0,2352.0,0.495,132,82.000
35,45024,0,2,31,128854.0,16525.0,2352.0,0.495,132,82.000
35,45024,0,2,31,128855.0,16525.0,2352.0,0.495,132,82.000
35,45024,0,2,31,135973.0,17434.0,2352.0,0.495,132,82.000
35,45024,0,2,31,135974.0,17434.0,2352.0,0.495,132,82.000
35,45024,0,2,31,135975.0,17434.0,2352.0,0.495,132,82.000
35,45024,0,2,31,135976.0,17434.0,2352.0,0.495,132,82.000
35,45024,0,2,31,135977.0,17434.0,2352.0,0.495,132,82.000
35,45024,0,2,31,159782.0,20167.0,2352.0,0.495,132,82.000
